SL .NO,NAME OF THE ROAD,ORIGIN,DESTINATION,ENROUTE (VIA),"APPR.  LENGTH 
(KM)",ZONE
S-01,Bhattarahalli - Bidarahalli Road,"Bhattarahalli           (Near 
NH-4)","BBMP Limits 
(Bidarahalli)",Kittaganur,7,Mahadevapura -7
S-02,Anandapur Road,Anandapura,Maragondanahalli,Anandapura,2,Mahadevapura -2
S-03,ITI Colony - KR Puram Road,"BEL Road - Ramamurthy 
Nagara Main Road","Bhupasandra Road @ 
NH4 (Govt-ITI 
College)","ITI Colony - KR Puram -RMS     
Colony - Excise Colony",4,Mahadevapura -4
S-04,KR Puram Railway Station Road,"Ramamurthynagara Main 
Road Near Police 
Quarters","Near ITI Colony Gate 
(NH-4)","Jyothinagara-KR Puram, 
Vijnanapura",4,Mahadevapura -4
S-05,Hanagalipura Road,Channasandra Road,Aduru Road,Hanagalipura,2,Mahadevapura -2
S-06,Kalkere- Kaudenahalli Road,Agara Junction,"Kaudenahalli Main 
Road",Kalkere,5,Mahadevapura -5
S-07,"Hennur- Bagalur Road  - 
Ramamurthynagara main Road",Hennur - Bagalur Road,"Ramamurthy Nagara 
Main Road","Hennur - Agara - Kalkere Road  
Kaudenahalli Main Road - 
Ramamurthy nagara Main Road @ 
St. Annes College",8,Mahadevapura -8
S-08,Horamavu - Agara Road,ORR,Agara Junction,"Nanjappa Garden - Babasaheb  
palya- Horamavu-Agara",3,Mahadevapura -3
S-09,HBR Layout Main Road,ORR,Hennur Main Road,4th and 5th Block (HBR Layout),2,Mahadevapura -2
S-10,Horamavu Main Road,ORR,"Banasawadi Main 
Road",BET College,1,ORR -1
S-11,"Banasawadi Road - Channasandra Main 
Road","Banasawadi Road  @ 
Steel Factory","ORR Junction @ 
Bridge",Banasawadi -B'Channasandra,4,ORR -4
S-12,Chikkabanasawadi - Kasturinagara Road,"Lazer - Hennur Main 
Road",ORR (Near),"Banasawadi - Chikkabanasawadi - 
Kasturinagara",7,ORR -7
S-13,Railway Line Road,"Old Madras Road  Near 
NGEF Factory","ORR - Kasturinagara 
Junction",Sadanandanagara,3,ORR -3
S-14,7th Main Road  (Banasawadi),ORR,Banasawadi Road,Kalyananagara - Kammanahalli,3,ORR -3
