Ward no,Ward name,Re-elected corporator,2010 Movable Asset,2010 Immovable,2010 Total assets,Liabilities in 2010,Assets in 2015- Movable,2015 Immovable,2015 Total,Liabilities in 2015,Observation,Increase or decrease
5,Jakkur,K Munindra Kumar,"Rs 31.68 lakh/ 1 Innova / Monthly Income Rs 53,000",Rs 2.24 crore,Rs 2.55 crore,Rs 7 lakh,Rs 35.90 lakh/ 1 Innova,Rs 5.15 crore including a Arkavathi site,Rs 5.50 crore,Rs 2.14 crore,"His movable asset is almost the same, where as immovable asset has more than doubled. His liability too has increased from Rs 7 lakh to Rs 2.14 crore.",INCREASE
23,Nagavara,Irshad Begum,"Rs 2.5 lakh / Monthly Income Rs 2,500",Rs 35 lakh,Rs 37.5 lakh ,Rs 7.50 lakh,Rs 10.95 lakh/ 2 bikes and 2 cars,Rs 70 lakh,Rs 85.95 lakh,Rs 5.75 lakh,"The number of immovable property she owns is still the same, whereas its value has doubled.",INCREASE
27,Banaswadi,Kodanda Reddy,Rs 11.30 lakh/ 2 two wheelers and 1 four wheeler (Verna),Rs 4.35 crore,Rs 4.46 crore,Rs 22 lakh,Movable-Rs 11.30 lakh/ 2 two wheelers and 1 car (Skoda),Rs 3.46 crore,Rs 3.57 crore,Rs 21 lakh,"His movable asset is the same, whereas declared immovable asset has decreased. The liability is almost the same.",DECREASE
29,Kacharakanahalli,Padmanabha Reddy,Rs 42.10 lakh / 3 cars / Monthly income Rs 3 lakh,Rs 7.20 crore,Rs 7.62 crore,Rs 49.96 lakh,Rs 52.62 lakh/ 4 cars including a BMW,Rs 9.5 crore,Rs 10.2 crore,Rs 27 lakh,"While there is not much increase in movable asset, immovable asset has increased by almost Rs 2 crore and liability has decreased",INCREASE
34,Gangenahalli,M Nagaraj,Rs 26 lakh / 1 car,Rs 1.97 crore / 9 houses ,Rs 2.23 crore,NIL,Rs 43.44 lakh / 3 cars,Rs 6.99 crore / 12 houses/flats,Rs 7.42 crore,Rs 12.10 lakh,"Nagaraj's total asset has increased almost three times compared to his asset in 2010. Liability which was NIL in 2011, has seen a rise in 2015",INCREASE
38,H.M.T Ward,Asha Suresh,"Movable Asset - NIL / 1 car /  Monthly Income Rs 15,000",Rs 2.5 crore,Rs 2.5 crore,Rs 26.5 lakh,Rs 6.11 lakh,NIL,Rs 6.11 lakh,NIL,"While the movable asset of Asha Suresh was NIL in 2011, it is Rs 6.11 lakh this year. In contrary, the corporator has shown immovable asset as NIL. This is because, in 2011, she had given the asset details of her family too, whereas this time she has given only her property details, excluding family members.",INCOMPLETE
45,Malleshwaram,N Jayapal,"Rs 7.08 lakh / 1 two wheeler / Monthly Income Rs 73,000",3 sites in Bengaluru and an agriculture land in Yelahanka / Value NOT mentioned,Not clear,Rs 7.08 lakh and more,Rs 9.30 lakh / 2 bikes,Rs 2.47 crore (3 sites and 1 agriculture land),Rs 2.56 crore,NIL,"Assuming that the immovable property declared in 2011 and 2015 are the same, it could be concluded that there is no much difference in his assets declared in 2011 and 2015.",STAGNANT
47,Devarajeevanahalli,Sampathraj,Rs 1 crore / 1 car / Monthly Income-Rs 27.62 lakh,Rs 7.29 crore / 15 sites/houses,Rs 8.29 crore,Rs 21 lakh,Rs 65 lakh / 5 cars,Rs 5.81 crore / 16 sites and houses,Rs 6.56 crore,Rs 21 lakh,"Property has seen a decrease in the case of this corporator. However, the number of cars owned which was 1 in 2011 has increased to 5 now! Liability remains the same.",DECREASE
49,Lingarajapura,Lavanya Ganesh,NIL,Rs 1.55 crore,Rs 1.55 crore,Rs 23.85 lakh,NIL,Rs 2.14 crore/ this excludes the ancestral property,Rs 2.14 crore,NIL,Asset has increased and liability decreased,INCREASE
63,Jayamahal,M K Gunashekhar,Rs 15.50 lakh,Rs 56.71 lakh,Rs 71.71 lakh,Rs 29 lakh,Rs 8.10 lakh / 3 cars,Rs 1.74 crore,Rs 1.82 crore,Rs 22 lakh,Asset of M K Gunashekhar has doubled in last five year and the liability has decreased.,INCREASE
