 MP Constituency ,Assembly,Ward No,Ward Name ,Winning candidate,Winner's party,Past corporator Party
Bangalore South,B.T.M. Layout,146,Lakkasandra,Mahesh Babu,BJP,BJP
Bangalore South,B.T.M. Layout,147,Adugodi,Manjula,INC,INC
Bangalore South,B.T.M. Layout,148,Ejipura,T Ramachandra,INC,INC
Bangalore South,B.T.M. Layout,151,Koramangala,M Chandrappa,INC,INC
Bangalore South,B.T.M. Layout,152,Suddugunte Palya,G Manjunath,INC,INC
Bangalore South,B.T.M. Layout,172,Madiwala,B N Manjunath Reddy,INC,INC
Bangalore South,B.T.M. Layout,173,Jakkasandra,Saraswathamma,BJP,BJP
Bangalore South,B.T.M. Layout,176,B.T.M.Layout,K Devadas,JDS,INC
Bangalore South,Bangalore South,184,Uttarahalli,Hanumantaiah',BJP,BJP
Bangalore South,Bangalore South,185,Yelachenahalli,V Balakrishna,BJP,INC
Bangalore South,Bangalore South,192,Begur,M Anjinappa,INC,JDS
Bangalore South,Bangalore South,194,Gottigere,Lalitha T Narayan,BJP,INC
Bangalore South,Bangalore South,195,Konanakunte,Shashirekha Jayaram,BJP,BJP
Bangalore South,Bangalore South,196,Anajanapura,K Somashekhar,BJP,INC
Bangalore South,Bangalore South,197,Vasanthapura,Shobha Gowda,INC,BJP
Bangalore South,Basavanagudi,154,Basavanagudi,B S Satyanarayana,BJP,BJP
Bangalore South,Basavanagudi,155,Hanumathnagar,Kempegowda,BJP,INC
Bangalore South,Basavanagudi,156,Srinagar,J M Savitha,BJP,JDS
Bangalore South,Basavanagudi,162,Girinagar,A V Nandini Vijay Vittal,BJP,BJP
Bangalore South,Basavanagudi,163,Kathriguppe,Sangathi Venkatesh,BJP,BJP
Bangalore South,Basavanagudi,164,VidyaPeeta Ward,Shamala Saikumar,BJP,BJP
Bangalore South,Bommana Halli,174,HSRLayout,Gurumurthy Reddy,BJP,BJP
Bangalore South,Bommana Halli,175,Bommanahalli,C R Rajmohan Raju,BJP,BJP
Bangalore South,Bommana Halli,186,Jaraganahalli,B M Shobha,BJP,BJP
Bangalore South,Bommana Halli,187,Puttenahalli,R Prabhavati Ramesh,BJP,BJP
Bangalore South,Bommana Halli,188,Bilekahalli,K Narayan Raju,BJP,BJP
Bangalore South,Bommana Halli,189,Hongasandra,Bharathi Ramachandra,BJP,BJP
Bangalore South,Bommana Halli,190,Mangammana Palya,Shobha Jagadish,INC,BJP
Bangalore South,Bommana Halli,191,Singasandra,V Shantha,BJP,INC
Bangalore South,Bommana Halli,193,Arakere,Bhagyalakshmi,BJP,BJP
Bangalore North,Byatarayanapura,5,Jakkur,K Munindra Kumar,BJP,BJP
Bangalore North,Byatarayanapura,6,Thanisandra,Mamatha K M,INC,JDS
Bangalore North,Byatarayanapura,7,Byatarayanapura,P V Manjunath,INC,INC
Bangalore North,Byatarayanapura,8,Kodigehalli,Chethan K M,INC,BJP
Bangalore North,Byatarayanapura,9,Vidyaranyapura,Kusuma H,BJP,BJP
Bangalore North,Byatarayanapura,10,Doddabommasandra,Jayalakshmi Pillappa,BJP,BJP
Bangalore North,Byatarayanapura,11,Kuvempunagar,V Prathibha Rajan,INC,Independent
Bangalore Central,C.V. Ramannagar (SC),50,Benniganahalli,Meenakshi,INC,BJP
Bangalore Central,C.V. Ramannagar (SC),57,C.V Raman Nagar,Aruna Ravi,BJP,BJP
Bangalore Central,C.V. Ramannagar (SC),58,New Thippasandra,Shilpa K S ,INC,BJP
Bangalore Central,C.V. Ramannagar (SC),79,Sarvajna Nagar,Shashirekha Mukund,BJP,BJP
Bangalore Central,C.V. Ramannagar (SC),80,Hoysala Nagar,Anand Kumar,Independent,BJP
Bangalore Central,C.V. Ramannagar (SC),88,Jeevan Bheema Nagar,Veena Kumari ,BJP,BJP
Bangalore Central,C.V. Ramannagar (SC),113,Konena Agrahara,Chandrappa Reddy,Others,BJP
Bangalore Central,Chamarajpet,135,Padarayanapura,Imran Pasha,JDS,Independent
Bangalore Central,Chamarajpet,136,Jagajeevan Ramnagar,Seema Althaf Khan ,INC,INC
Bangalore Central,Chamarajpet,137,Rayapuram,Shashikala Keshav,BJP,JDS
Bangalore Central,Chamarajpet,138,Chalavadi Palya,Rekha Kadiresh,BJP,BJP
Bangalore Central,Chamarajpet,139,K.R Market,Nazima Khanam,JDS,JDS
Bangalore Central,Chamarajpet,140,Chamarajpete,B Kokila Chandrashekhar,INC,BJP
Bangalore Central,Chamarajpet,141,Azad Nagar,M Sujatha,INC,INC
Bangalore South,Chickpet,118,Sudham Nagar,R V Yuvaraj,INC,INC
Bangalore South,Chickpet,119,Dharmaraya Swamy Temple Ward,Prathibha Dhanraj,BJP,BJP
Bangalore South,Chickpet,142,Sunkenahalli,DN Ramesh,BJP,BJP
Bangalore South,Chickpet,143,Vishweshwarapuram,Vani Rao,BJP,BJP
Bangalore South,Chickpet,144,Siddapura,Muzahid Pasha,SDPI,INC
Bangalore South,Chickpet,145,Hombegowda Nagar,D Chandrappa,INC,Independent
Bangalore South,Chickpet,153,Jayanagar,Gangambike Mallikarjun,INC,INC
Bangalore North,Dasarahalli,12,Shettihalli,K Nagabhushan,INC,BJP
Bangalore North,Dasarahalli,13,Mallasandra,Lokesh,BJP,BJP
Bangalore North,Dasarahalli,14,Bagalkunte,K Narasimha ,BJP,BJP
Bangalore North,Dasarahalli,15,T. Dasarahalli,Umadevi Nagaraj,BJP,BJP
Bangalore North,Dasarahalli,39,Chokkasandra,Sarvamangala Nagaraj,BJP,JDS
Bangalore North,Dasarahalli,41,Peenay Industrial Area,Lalitha Thimananjaiah,INC,Independent
Bangalore North,Dasarahalli,70,Rajagopalanagar,Padmavathi Narasimhamurthy,JDS,BJP
Bangalore North,Dasarahalli,71,Heggenahalli,Bhagyamma K,BJP,Independent
Bangalore Central,Gandhi Nagar,77,Dattatreya Temple,R S Satynarayan,INC,INC
Bangalore Central,Gandhi Nagar,94,Gandhi Nagar,R J Lalitha,INC,INC
Bangalore Central,Gandhi Nagar,95,Subhash Nagar,L Govindaraju,INC,INC
Bangalore Central,Gandhi Nagar,96,Okalipuram,V Shivaprakash,BJP,INC
Bangalore Central,Gandhi Nagar,109,Chikpete,Leela Shivakumar,BJP,BJP
Bangalore Central,Gandhi Nagar,120,Cottonpet,D Pramod,INC,BJP
Bangalore Central,Gandhi Nagar,121,Binnypet,Mahadevamma Nagaraj,INC,INC
Bangalore South,Govindaraja Nagar,103,Kaveripura,R Ramila,JDS,JDS
Bangalore South,Govindaraja Nagar,104,Govindarajanagar,Umesh Shetty,BJP,BJP
Bangalore South,Govindaraja Nagar,105,Agrahara Dasarahalli,Shilpa G Sridhar,BJP,BJP
Bangalore South,Govindaraja Nagar,106,Dr. Rajkumar Ward,Roopa R,INC,BJP
Bangalore South,Govindaraja Nagar,125,Marenahalli,Madhukumari Vageesh,BJP,BJP
Bangalore South,Govindaraja Nagar,126,Maruthi Mandira Ward,V Shantha Kumari,BJP,BJP
Bangalore South,Govindaraja Nagar,127,Moodalapalya,Dase Gowda,BJP,BJP
Bangalore South,Govindaraja Nagar,128,Nagarbhavi,Mohan Kumar,BJP,BJP
Bangalore South,Govindaraja Nagar,131,Nayandahalli,M Savitha,INC,BJP
Bangalore North,Hebbal,18,Radha Krishna Temple Ward,Anand,JDS,BJP
Bangalore North,Hebbal,19,Sanjayanagar,Indira Subhash,BJP,BJP
Bangalore North,Hebbal,20,Ganganagar,Pramila Anand,BJP,BJP
Bangalore North,Hebbal,21,Hebbal,Anand Kumar,INC,BJP
Bangalore North,Hebbal,22,Vishwanatha Nagenahalli,Rajashekharan V,JDS,INC
Bangalore North,Hebbal,33,Manorayanapalya,Abdul Wajid,INC,INC
