Name,Type,Beds,Address,Ward,area covered,Services,Staff,Contact,,,,,,,,,,,,,,,,,
A. D. Halli H.C.,BBMP Health Centre,,"#4, 17th Cross, 4th Stage, 3rd Block, Basaveshwaranagar, Bangalore – 79",105,106,,,22975671,,,,,,,,,,,,,,,,,
Anjanappa Garden H.C.,BBMP Health Centre,,"Near Balemandi, Binnypet, Bangalore",138,139,,,22975680,,,,,,,,,,,,,,,,,
Audugodi H.C.,BBMP Health Centre,,"Koramangala Road, Bangalore – 30",146,147,,,22975870,,,,,,,,,,,,,,,,,
Avalahalli H.C.,BBMP Health Centre,,"17th Main, Muneshwara Block, Avalahalli, Bangalore – 85",157,,,,22975782,,,,,,,,,,,,,,,,,
Bagalur H.C.,BBMP Health Centre,,"Old Bagalur Layout, Bangalore",31,60,,,22975885,,,,,,,,,,,,,,,,,
Bapujinagar H.C.,BBMP Health Centre,,"2nd Main Road, Mysore Road, Near Ragavendra Road, Bangalore – 26",132,134,,,22975793,,,,,,,,,,,,,,,,,
Bhuvaneshwari Nagar H.C.,BBMP Health Centre,,"Opp. Ganesha temple, C.V. Raman Nagar, Bangalore – 93",57,58,,,22975884,,,,,,,,,,,,,,,,,
C. T. Bed H. C.,BBMP Health Centre,,"4th Cross, Chennamanakere, BSK 2nd Stage, Near SSM School, Bangalore – 28",164,183,,,22975775,,,,,,,,,,,,,,,,,
Gangondanahalli H.C.,BBMP Health Centre,,"Makahamasjid corp. hospital, Chandra Layout, Bangalore",128,,,,,,,,,,,,,,,,,,,,,
Govindrajnagar H.C.,BBMP Health Centre,,"Prashanthnagar Main Road, Govindrajnagar, Bangalore – 79",103,104,,,,,,,,,,,,,,,,,,,,
J. P. Nagar H.C.,BBMP Health Centre,,"1st Phase, Sarakki, Bangalore – 78",178,179,,,22975771,,,,,,,,,,,,,,,,,
K. G. Halli H.C.,BBMP Health Centre,,"Behind K.G. Halli PHC, Near K.G. Halli Police Station, K.G. Halli, Bangalore",23,30,,,22975779,,,,,,,,,,,,,,,,,
Kodihalli H.C.,BBMP Health Centre,,"Next to Maruthi Towers, Airport Road, Bangalore – 08",112,88,,,22975879,,,,,,,,,,,,,,,,,
Koramangala H.C.,BBMP Health Centre,,"Lakshman Rao Nagar, Viveknagar, Bangalore – 47",148,151,,,,,,,,,,,,,,,,,,,,
Kumaraswami Layout H. C.,BBMP Health Centre,,"Opp. To Police Station, K.S. Layout, Bangalore",181,182,,,22975789,,,,,,,,,,,,,,,,,
Mathikere H.C.,BBMP Health Centre,,"B.K. Nagar, Bangalore – 22",17,36,,,22975822,,,,,,,,,,,,,,,,,
Moodalapalya H.C.,BBMP Health Centre,,"GKW Layout & Saraswathi, Bangalore – 40",126,127,,,22975768,,,,,,,,,,,,,,,,,
Murphy Town H.C.,BBMP Health Centre,,"Near Ulsoor Fish Market, Bangalore – 08",80,91,,,,,,,,,,,,,,,,,,,,
N. S. Palya H.C.,BBMP Health Centre,,"12th Cross, BTM layout, 2nd Stage, Bangalore – 76",176,177,,,,,,,,,,,,,,,,,,,,
Nandini Layout H.C.,BBMP Health Centre,,"Jai Bhuvaneshwarinagar, behind KHB quarters, Nandini Layout, Bangalore – 96",42,43,,,,,,,,,,,,,,,,,,,,
Old Byappanahalli H.C.,BBMP Health Centre,,"Main Road, Near Water Tank, Bangalore – 08",50,59,,,,,,,,,,,,,,,,,,,,
Pantharpalya H.C.,BBMP Health Centre,,"Mysore Road main road, Nayanadahalli, Pantharapalya, Bangalore – 26",131,158,,,22975890,,,,,,,,,,,,,,,,,
Robbertson Road H.C.,BBMP Health Centre,,"Robertson Road, Near Doddi, Frazer Town, Bangalore – 46",61,78,,,,,,,,,,,,,,,,,,,,
Shankar Nagar H. C.,BBMP Health Centre,,"6th Cross, Vijayanandnagar, Mahalakshmi Layout, Bangalore – 57",44,38,,,22975674,,,,,,,,,,,,,,,,,
Sulthan Palya H.C.,BBMP Health Centre,,"Behind Pushpanjali Theatre, Near Sulthanpalya, Bangalore",32,33,,,,,,,,,,,,,,,,,,,,
Taskar Town H.C.,BBMP Health Centre,,"Shivajinagar, Bundimutt, Bangalore – 01",63,92,,,,,,,,,,,,,,,,,,,,
Thavarekere H. C.,BBMP Health Centre,,"1st Main Road, DRC Post, Bangalore – 76",152,171,,,22975777,,,,,,,,,,,,,,,,,
Vidyapeeta H.C.,BBMP Health Centre,,"Vidhyapeeta Circle, Srinagar, Bangalore – 52",161,163,,,,,,,,,,,,,,,,,,,,
Yarabnagar H. C.,BBMP Health Centre,,"9th Main, BSK 2nd Stage, Bangalore",180,,,,,,,,,,,,,,,,,,,,,
Azadnagar UFWC,BBMP Urban Family Welfare Centre,,"Kasturba Nagar, Mysore Road, Bangalore – 26",141,136,,,22975787,,,,,,,,,,,,,,,,,
