Ward No,Ward Name,Total Voters Men,Total Voters Women,Total Voters Others,Total Voters,Total Polled votes Men,Total Polled votes Women,Total Polled votes Others,Total Polled votes,Poll %age
1,Kempegowda,17029,15565,9,32603,9509,8741,3,18253,55.99
2,Chowdeshwari,17289,15771,2,33062,9727,8907,2,18636,56.37
3,Attur,25455,23553,6,49014,11678,10624,0,22302,45.5
4,Yelahanka New Town,20716,18971,2,39689,11067,9813,0,20880,52.61
5,Jakkuru,26896,24209,5,51110,15011,14213,0,29224,57.18
6,Thanisandra,36675,31032,20,67727,15251,13244,9,28504,42.09
7,Byatarayanapura,33828,29763,11,63602,16300,14329,1,30630,48.16
8,Kodigehalli,22354,19410,3,41767,11597,10356,0,21953,52.56
9,Vidyaranayapura,24987,23348,5,48340,12833,11066,0,23899,49.44
10,Doddabommasandra,13333,12152,1,25486,7023,6397,0,13420,52.66
11,Kevempunagara,19052,18078,4,37134,10050,9474,0,19524,52.58
12,Shettihalli,29764,26126,3,55893,15818,14182,0,30000,53.67
13,Mallasandra,21653,18443,3,40099,11661,10286,0,21947,54.73
14,Bagalagunte,33959,29010,14,62983,16029,13132,1,29162,46.3
15,Dasarahalli,19642,15989,3,35634,9398,7740,0,17138,48.09
16,Jalahalli,14491,13640,4,28135,7536,6852,0,14388,51.14
17,J.P.Park,24122,22671,12,46805,11699,10581,6,22286,47.61
18,Radhakrishna Temple Ward,17872,16432,4,34308,8452,7660,0,16112,46.96
19,Sanjaynagar,15265,14209,0,29474,6618,5721,0,12339,41.86
20,Ganganagar,12872,12126,2,25000,6271,5723,0,11994,47.98
21,Hebbal,13724,12722,2,26448,7147,6303,0,13450,50.85
22,Vishwanatha Nagenahalli,23540,21164,5,44709,11862,10892,1,22755,50.9
23,Nagavara,26241,24643,5,50889,13650,12488,0,26138,51.36
24,HBR Layout,24581,23248,16,47845,11413,10393,6,21812,45.59
25,Horamavu,44926,40494,39,85459,22233,20040,16,42289,49.48
26,RAMAMURTHYNAGAR,23393,21817,6,45216,13245,12158,0,25403,56.18
27,Banasawadi,21994,20754,1,42749,10266,9139,0,19405,45.39
28,Kammanahalli,20021,19210,2,39233,8059,7547,0,15606,39.78
29,Kacharakanahalli,15370,15169,2,30541,7430,6896,0,14326,46.91
30,K.G.Halli,21173,20516,3,41692,9754,8949,0,18703,44.86
31,Kushalanagar,16323,15893,5,32221,8102,7734,1,15837,49.15
32,Kaval Byrasandra,19692,16968,11,36671,9004,8157,0,17161,46.8
33,Manorayanapalya,19119,17675,1,36795,9731,8552,0,18283,49.69
34,Gangenahalli,10852,10145,0,20997,5795,5358,0,11153,53.12
35,Aramanenagara,13242,11970,1,25213,5738,4847,0,10585,41.98
36,Mathikere,17197,15809,2,33008,8838,7934,0,16772,50.81
37,Yeshwanthpur,21113,19625,4,40742,10170,9388,0,19558,48
38,HMT,18283,15976,2,34261,9451,8406,0,17857,52.12
39,Chokkasandra,26118,20688,3,46809,14245,11747,0,25992,55.53
40,Doddabidarakallu,37470,32111,6,69587,19729,17213,0,36942,53.09
41,Peenya Industrial Area,23400,19042,55,42497,12589,10597,0,23186,54.56
42,Lakshmidevinagara,18748,16972,2,35722,9321,8735,0,18056,50.55
43,Nandini Layout,24304,22186,7,46497,13195,12171,0,25366,54.55
44,Marappana Palya,17544,16443,18,34005,9361,8551,12,17924,52.71
45,Malleshwaram,15619,14599,2,30220,7696,6945,0,14641,48.45
46,Jayachamarajendra Nagar,12002,11968,2,23972,6844,6414,1,13259,55.31
47,Devarajeevanahalli,16369,15865,3,32237,8148,8355,0,16503,51.19
48,Muneshwaranagar,14718,14147,5,28870,7850,7450,1,15301,53
49,Lingarajapura,16689,16945,6,33640,7330,7194,0,14524,43.17
50,Benniganahalli,20921,17798,10,38729,9416,8454,0,17870,46.14
51,Vijinapura,21752,20529,3,42284,11165,10384,0,21549,50.96
52, K.R.Pura,21199,19209,12,40420,11392,10535,6,21933,54.26
53,Basavanapura,23737,21182,15,44934,11746,10665,0,22411,49.88
54,Hoodi,23791,18659,23,42473,12449,10604,0,23053,54.28
55,Devasandra,14631,12536,5,27172,7181,6623,0,13804,50.8
56,A. Narayanapura,20258,18405,7,38670,10443,9625,3,20071,51.9
57,C.V.Raman nagar,23101,19543,19,42663,9764,7903,0,17667,41.41
58,New Thippasandra,19300,16998,12,36310,8961,7726,0,16687,45.96
59,MaruthiSevaNagar,18024,17856,3,35883,7531,7233,0,14764,41.14
60,Sagayapuram,15013,15170,1,30184,7973,7769,0,15742,52.15
61,SK Garden,14358,13418,4,27780,7608,7000,0,14608,52.58
62,Ramaswamy Palya,14575,14483,0,29058,7528,6792,1,14321,49.28
63,Jayamahal,11018,10350,1,21369,4494,4063,0,8557,40.04
64,Rajamahal Guttahalli,13688,13982,0,27670,7544,6780,0,14324,51.77
65,Kadumalleshwaram,15877,16283,0,32160,8123,7424,0,15547,48.34
66,Subramanyanagara,15200,15066,2,30268,8614,8358,0,16972,56.07
67,Nagapura,17517,16822,7,34346,9530,8839,0,18369,53.48
68,Mahalakshmi Puram,21688,20134,13,41835,10721,9757,1,20479,48.95
69,Laggere,27593,24562,1,52156,14986,13506,0,28492,54.63
70,Rajagopala nagara,25449,21044,3,46496,13962,11773,0,25735,55.35
71,Hegganahalli,31169,26034,6,57209,15625,13324,1,28950,50.6
72,Herohalli,33260,29127,7,62394,18579,17133,0,35712,57.24
73,Kottigepalya,35629,30941,9,66579,17650,15061,1,32712,49.13
74,Shakthi Ganapathi Nagar,21920,20604,3,42527,10968,10091,0,21059,49.52
