"SL 
No","Ward
No",Name of the ward,Zone,Location of the toilet,Name of the road/ street,"Year of 
construct
ion",Gents,Ladies,Facilities available Electricity,water,UGD,"water 
tank",BWSSB,"Bore 
well","Contractor 
name",ward AE/AEE Name
1,1,Kempegowda Ward,Yelanka,Near Post ofiice,BB Road Yelanka,2013,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,PKS,"AE Chnadra Shekar 
A.G
AEE, Prabhakar G.B"
2,1,Kempegowda Ward,Yelanka,Ayodya Complex,Suggappa Layout MR.,2009,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,PKS,"AE Chnadra Shekar 
A.G
AEE, Prabhakar G.B"
3,1,Kempegowda Ward,Yelanka,Govt. Hospital,Hospital Rd Yelanka,2005,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,PKS,"AE Chnadra Shekar 
A.G
AEE, Prabhakar G.B"
4,2,Chowdeswari Ward,Yelanka,BBMP office,BBMp Office Road,2008,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,PKS,"AE Rama Sanjeevaiah
AEE, Prabhakar G.B"
5,3,Atturu,Yelanka,"Near Chikka bettahalli 
Rd",Masjid rd,2015,No,No,Yes,Yes,No,Yes,No,Yes,-,"Jagadish AEE
Pradeep BN AE"
6,4,Yelahanka Satellite Town,Yelanka,"Doddaballapura MR 
near NES office",-,2015,No,No,Yes,Yes,Yes,Yes,No,No,-,"Jagadish AEE
Pradeep BN AE"
7,4,Yelahanka Satellite Town,Yelanka,"Yelahanaka new town, 
opp RTO complex",-,2015,No,No,No,Yes,Yes,Yes,No,No,-,"Jagadish AEE
Pradeep BN AE"
8,5,Jakkuru,Yelanka,jakkur 18th Cross,Jakkur main Raod,2004,Yes,Yes,Yes,No,No,Yes,No,No,-,Chandrakanthraju PA.
9,5,Jakkuru,Yelanka,Vinayakanagara,Bagalur Main Raod,2004,Yes,Yes,No,Yes,No,Yes,No,No,-,Chandrakanthraju PA.
10,5,Jakkuru,Yelanka,Kogilu Layout,Kogilu Bande Raod,2004,Yes,Yes,No,Yes,No,Yes,No,No,Sri. Suryakanth,Chandrakanthraju PA.
11,7,Byatarayanapura,Yelanka,Near BBMP office,Byatarayanapura,2012,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,-,"AE Basavaraj
AEE, Rajinaikanth 
Malli"
12,7,Byatarayanapura,Yelanka,Near Hebbal Fly over,Hebbal,2012,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,-,"AE Basavaraj
AEE, Rajinaikanth 
Malli"
13,8,Kodigehalli,Yelanka,"Adjoining to Ranga 
mindra",Behind Damodhar Rd,2012,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,-,"AE Srinivas Murthy 
AEE, Rajinaikanth 
Malli"
14,9,Vidyaranyapura,Yelanka,"Near BMTC Bus stop 
Narasapura","Durga Temple Rd,",-,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,-,"Suresh 
Devathraj"
15,9,Vidyaranyapura,Yelanka,Thindul circle,Vidyaranyapura Main Rd,2015,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,-,"Suresh 
Devathraj"
