Ward No,Ward Name ,Current corporator Name,Party,Gender,Winner's votes,1st runner up,Party,Votes,Victory margin,Past corporator Name,Party
1,Kempegowda Ward,Chandramma,BJP,F,9439,Dhanalakshmi Krishnamurthy,INC,8295,1144,Y.N Ashwath,BJP
2,Choudeshwari Ward,R Padmavathi,INC,F,10533,Vanishree Vishwanath,BJP,7426,3107,K.V. Yashoda,BJP
3,Attur,Nethra Pallavi,BJP,F,12605,Shantha Rajanna,INC,7954,4651,K.N Geetha ShashiKumar,BJP
6,Thanisandra,Mamatha K M,INC,F,10995,M Savitramma,BJP,10095,900,Lalitha,JDS
9,Vidyaranyapura,Kusuma H,BJP,F,13742,Sudha T T,INC,7826,5916,K. Nandini,BJP
10,Doddabommasandra,Jayalakshmi Pillappa,BJP,F,7628,Thejavathi,INC,4429,3199,M.E. Pillappa,BJP
15,T. Dasarahalli,Umadevi Nagaraj,BJP,F,11161,Uma Salma Basheer,INC,3545,7616,Puttamma,BJP
17,J.P Park,Mamatha K B Vasudev,BJP,F,9469,K Sunanda,INC,8222,1247,B.R. Nanjundappa,BJP
19,Sanjayanagar,Indira Subhash,BJP,F,5657,Sudha Jayasimha,INC,4664,993,N.M Krishnamurthy,BJP
20,Ganganagar,Pramila Anand,BJP,F,5982,Dr Radha Harish,INC,4863,1119,V. Anand,BJP
23,Nagavara,Irshad Begum,INC,F,10846,Shajiya S,Independent,10236,610,Irshaad Begum,INC
25,Horamavu,Radhamma ,INC,F,24756,N Bharathi Muniraju,BJP,16222,8534,Tejaswini N Raju,BJP
26,Ramamurthy nagar,Padmavathi Srinivas,BJP,F,13355,M Shantha,INC,11293,2062,M Revanna,BJP
28,Kammanahalli,Munilakshmamma,BJP,F,8689,B Kalpana,INC,6419,2270,M.C. Srinivas,BJP
31,Kushaal nagar,Umme Salma,JDS,F,8352,Noor Jahan Sharief,INC,6715,1637,Noor Jahaan,INC
32,Kavalbyrasandra,Netra Narayan,JDS,F,7375,Y R Gowramma,BJP,5944,1431,Y.R. Gowramma,BJP
35,Aramane Nagar,Sumangala B,BJP,F,6486,Latha R ,INC,3693,2793,Dr. M.S Shivaprasad,BJP
38,H.M.T Ward,Asha Suresh,INC,F,9031,K Manjula,BJP,6081,2950,Asha Suresh,INC
39,Chokkasandra,Sarvamangala Nagaraj,BJP,F,12114,Lakshmamma M Muniswamy,JDS,11212,902,M. Muniswamy,JDS
41,Peenya Industrial Area,Lalitha Thimananjaiah,INC,F,8399,Latha Ramesh,JDS,8378,21,K.L Thimmananjayya,Independent
48,Muneshwara Nagar,Syed Sazida,INC,F,6089,Kriya Shailaja,JDS,3761,2328,S. Kriyaa Shylaja,JDS
49,Lingarajapura,Lavanya Ganesh,INC,F,9332,Savithri Radhakrishna,BJP,2821,6511,Lavanya Ganesh Reddy,INC
50,Benniganahalli,Meenakshi,INC,F,8701,Vijayalakshmi Krishna,BJP,8307,394,N. Dayanand,BJP
52,K.R.Puram,K Poornima,BJP,F,11037,D K Mohan,INC,10487,550,N.Veeranna,BJP
57,C.V Raman Nagar,Aruna Ravi,BJP,F,11487,Shilpa K S,INC,5800,5687,M Krishnappa,BJP
58,New Thippasandra,Shilpa K S ,INC,F,9019,Suma Srinivas,BJP,7668,1351,Sumithra,BJP
59,Maruthi Seva Nagar,Hanna Bhuvaneshwari,INC,F,7521,Shrikanth Seetharam,BJP,6625,896,R. Rajendran,INC
62,Ramaswamy Palya,Netravathi Krishnegowda,INC,F,7297,Girija Prakash,BJP,4209,3088,N. Chandra,INC
64,Rajmahal Guttahalli,Hemalatha Sathish Seth,BJP,F,6728,Veena Vishwanath,INC,6368,360,M. Vijaya Kumari,BJP
69,Laggere,Manjula Narayanaswamy,JDS,F,12625,Ambujakshi Ravigowda,INC,9727,2898,Lakshmikanth Reddy,BJP
70,Rajagopalanagar,Padmavathi Narasimhamurthy,JDS,F,10772,Anitha Suresh,BJP,9144,1628,H.N. Gangadhara,BJP
71,Heggenahalli,Bhagyamma K,BJP,F,14187,Varalakshmi Govindegowda,JDS,9092,5095,Sri.M.B Govindegowda,Independent
74,Shakthi Ganapathi Nagar,Gangamma Rajanna,JDS,F,7782,Chandrakala J Jagadish,INC,6887,895,Padmavathi Srinivas,JDS
76,Gayithri Nagar,Chandrakala Harish,INC,F,8384,Dhruthi K M ,BJP,6308,2076,Chetan Gowda,BJP
79,Sarvajna Nagar,Shashirekha Mukund,BJP,F,7094,Manjula,INC,6011,1083,G. Bhuvaneshwari,BJP
85,Doddanekundi,Shwetha Vijayakumar,BJP,F,10740,Usha Guru,INC,8766,1974,N.R. Sridhar Reddy,BJP
88,Jeevan Bheema Nagar,Veena Kumari ,BJP,F,6572,K R Prabhavathi,INC,5495,1077,K ChandraShekar,BJP
90,Ulsoor,Mamatha Saravana,Independent,F,6782,Yashoda Udaykumar,INC,3184,3598,R. Uday Kumar,INC
92,Shivaji Nagar,Fareeda,INC,F,10716,Shama Sulthana,Independent,1525,9191,Fareeda,Independent
94,Gandhi Nagar,R J Lalitha,INC,F,6494,Gopalakrishna,BJP,5881,613,"S Nataraj (deceased)
replaced by T Gopala Krishna",INC
97,Dayananda Nagar,Kumari Palanikanth,BJP,F,7326,Shakila Muniraju,INC,5891,1435,Smt.M Shakeela,INC
98,Prakash Nagar,Padmavathi G,INC,F,10884,Devika Raj,BJP,3830,7054,K Raveendran,BJP
100,Basaveshwaranagar,Umavathi Padmaraj,BJP,F,8098,Pramila H,INC,5796,2302,S.H. Padmaraj,BJP
101,Kamakshipalya,Pratima K S Ramesh,BJP,F,7880,Rekha Sudhakar Rao,INC,3655,4225,K. Ranganna,BJP
102,Vrushabhavathi Nagar,S P Hemalatha,JDS,F,16654,Shanthamma,INC,4604,12050,L Nagarathna,JDS
103,Kaveripura,R Ramila,JDS,F,12037,Sunanda L,INC,9366,2671,R. Prakash,JDS
105,Agrahara Dasarahalli,Shilpa G Sridhar,BJP,F,7992,Kusuma,INC,6179,1813,Roopadevi,BJP
106,Dr. Rajkumar Ward,Roopa R,INC,F,4709,M G Jayarathna,BJP,4041,668,Gangabyrayya,BJP
107,Shiva Nagar,Manjula Vijaykumar,INC,F,6435,Puualakshmi,BJP,5933,502,Manjunath,BJP
