"SL. 
NO",NAME OF THE ROAD,ORIGIN,DESTINATION,ENROUTE (VIA),"APPR.  
LENGTH 
(KM)",ZONE
A02,Bilesivali-LG Layout Road,"Hennur Main Road @ 
Bangalore Biotech",NH-4 @ Avalahalli,"Bairathi-Bilesivali-Hanagalipura-Alembic 
Colony-Bedarahalli",12,Mahadevapura                    -12
A03,"Hosur-Bommanahalli-Madivala-
Adugodi-Vellara Junction-Residency
Road-Kamaraj Road-Wheeler Road- 
ITC Factory Road - Banasawadi-
Horamavu-Kalkere-Channasandra-
Maragondanahalli-Battarahalli-
Sonnenahalli-Belathur Road",sur Road (NH-7) (BBMP Lim,"NH-4 @ Medahalli 
(BBMP Limits)",`,48,"Bommanahalli -10
ORR -19
Mahadevapura                    -19"
A04,"Kaudenahalli-Hudi-Whitefield-
BEML Layout Road",ORR @ Airforce Quarters,"Varthur Road 
@Kaudenahalli Gate","ORR-BEML Layout-KIADA-Mahadevapura 
Industrial Area (Hudi)-Swathantranagara-Hosa 
Basavanapura-Battarahalli-Kaudenahalli-
Vishveshwaraiahnagar-Ramamurthynagar",20,Mahadevapura                    -20
A05,Banasawadi-Ramamurthynagar Road,Kalkere Road (100ft Road),"Old Madras Road @ 
ITI Hospital","Ramamurthynagar-ORR Crossing-Banasawadi-
Dooravaninagar",6,"Mahadevapura -4
ORR                                   -2"
A06,ORR,"Kengeri Satellite Town @ 
Mysore Road Junction","Magadi Road @ ORR
Junction","Kengeri Satellite Town @ Mysore Road 
Junction-Magadi Road Junction-Tumkur Road 
Junction-Bellary Road Junction-Kolar Road 
Junction-KR Puram Junction-Varthur Road 
Junction-Sarjapur Road Junction-Silk Board",80,"ORR -73
RajaRajeshwarinagara         -07"
A07,"Nagavara Main Road (Maruthinagar-
Kogilu Layout)",Bellary Road (NH-7),BBMP Limit,Maruthinagar- Kogilu Layout,12,"Byatarayanapura -9
Mahadevapura                      -3"
A08,Hennur Main Road,St.John's Church Road,BBMP Limit,"Kariyannana Palya-Kacharakanahalli-Hennur-
Geddalahalli -Kottanur-Kannur-
Kadasonappanahalli-BBMP Limit",17,"Mahadevapura -11
ORR                                  -06"
A09,Srirampura Main Road,Bellary Road (NH-7),"Hennur Main Road @
Bairathi Cross","Bhuvaneshwarinagara-Dasarahalli-Srirampur-
R.K.Hegdenagar-Shivaramkaranth nagar-BDS 
nagar",11,Byatarayanapura                -11
A10,Byappanahalli Main Road,ld Madras Road @ T.B.Hospi,ORR,"Byappanahalli-Satyanagar-Banasawadi Road-
Gopal Theatre-Kammanahalli (Kalyananagar)",7,ORR                                   -7
A11,"Dr.Ambedkar Road- Arabic College 
Main Road- Nagavara Main Road- 
Hosakote Road",Miller Road Junction,BBMP Limit,"Richards Town-Venkateshpura-HBR Layout-
Thanisandra-Shivaramkaranthnagar-Kogilu 
Layout-BBMP Limit",18,"Byatarayanapura -12
ORR                                  -06"
A12,"C.V.Raman Road-Jayamahal Road-
Basaveshwara Main Road-St.John's 
Church   Road        - Bhaskaran Road",P Limit (NH4 Towards Tum,"Swami Vivekananda 
Road (Old Madras 
Road)","Yeshwanthpur-C.V.Raman Circle-
New BEL Road- Tata Institute-Mekhri Circle-
Jayamahal-Frazer Town-Ulsoor Lake",28,"Dasarahalli -11
ORR                                  -17"
A13,Chinmaya Mission Hospital Road,Swami Vivekananda Road,80 Feet Road,Indiranagar,5,ORR                                  -5
