Ward no,What is the name of your ward?,Did you vote in the last BBMP elections (2010)?,Mention the elections that you voted in.,Who is your corporator?,What are the problems you face in your area? Issue 1,What are the problems you face in your area? Issue 2,What are the problems you face in your area? Issue 3,What are the problems you face in your area? Issue 4,What are the problems you face in your area? Issue 5,What are the problems you face in your area? Issue 6,What are the problems you face in your area? Issue 7,What are the problems you face in your area? Issue 8,What are the problems you face in your area? Issue 9,The issues to which the councillor gave importance [Hospitals/Primary health care centre],The issues to which the councillor gave importance [Building and Zoning Regulations],The issues to which the councillor gave importance [Restoration of lakes],"The issues to which the councillor gave importance [Roads, footpath]",The issues to which the councillor gave importance [Street lights],"The issues to which the councillor gave importance [Public facilities/basic amenities - playground, parks, public toilets etc.]",The issues to which the councillor gave importance [Cleanliness and garbage clearance],"The issues to which the councillor gave importance [Encroachment of public land, lakes and roads]",The issues to which the councillor gave importance [Public schooling],The issues to which the councillor gave importance [Public health & sanitation],"How did she/he perform at the ward level, on each of the above issues? [Hospitals/Primary health care centre]","How did she/he perform at the ward level, on each of the above issues? [Building and Zoning Regulations]","How did she/he perform at the ward level, on each of the above issues? [Restoration of lakes]","How did she/he perform at the ward level, on each of the above issues? [Roads, footpath]","How did she/he perform at the ward level, on each of the above issues? [Street lights]","How did she/he perform at the ward level, on each of the above issues? [Public facilities/basic amenities - playground, parks, public toilets etc.]","How did she/he perform at the ward level, on each of the above issues? [Cleanliness and garbage clearance]","How did she/he perform at the ward level, on each of the above issues? [Encroachment of public land/lakes]","How did she/he perform at the ward level, on each of the above issues? [Encouraging public schooling]","How did she/he perform at the ward level, on each of the above issues? [Public health and sanitation]",Rate your corporator. [Interaction with public],Rate your corporator. [Accessible to public],Rate your corporator. [How trustworthy is your corporator?],Rate your corporator. [How corrupt is your corporator?],"Do you think your current corporator acted independently, free of pressure from family members or friends?","Would you vote for your current corporator, if she/he contests elections once again? *",What is important to you during an election?,What is important to you during an election? 2,What is important to you during an election? 3,What is important to you during an election? 4,What is important to you during an election? 5,What is important to you during an election? 6,"Who is the leader who can help solve Bangalore's problems, according to you?","Which party's candidate are you likely to vote for, in BBMP elections 2015?",Which political party represents Bangalore's interest best?,Age,Educational Qualification,Occupation,Monthly - family income levels,Gender,What are the languages you speak?,What are the languages you speak? 2,What are the languages you speak? 3,What are the languages you speak? 4,What are the languages you speak? 5,What are the languages you speak? 6,
3,Attur,No - I was not on the voters list,Parliament elections 2014,Uday Kumar,Garbage black spots, Non-collection of garbage from your home,,,,,,,,3,2,3,3,3,3,3,3,3,3,3 - Average,3 - Average,5 - Very Good,3 - Average,3 - Average,3 - Average,2 - Poor,2 - Poor,2 - Poor,3 - Average,Very high,High,High,Medium,Yes,No,Candidate's individual capabilities, Caste/religion, Candidate's personality/ charm,,,,,Independent?,,25-30,Post graduate,Private Firm Employee,"Between Rs 25,000 and Rs 50,000",Female,Kannada, Tamil, Malayalam, English,,,
91,Bharathi Nagar,No - I did not like the candidates,"Assembly elections 2013, Parliament elections 2014",Shakil,Garbage black spots, Non-collection of garbage from your home, Bad roads with potholes, Unwalkable footpaths, Lack of primary health centres, Lack of public toilets, Lack of parks and playgrounds, Encroachment of public land,,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,Zero,Zero,Zero,Very high,No,No,Candidate's individual capabilities, Past work record of candidate, Clean image of candidate, Candidate's personality/ charm,,,Kejriwal,Party doesn't matter; candidate does,Aam Aadmi Party,31-40,Graduate diploma/degree,Public sector Employee,"Between Rs 25,000 and Rs 50,000",Male,Kannada, Tamil, Urdu,,,,
57,C.V Raman Nagar,No - I was not on the voters list,Parliament elections 2014,M. KRISHNAPPA ,Garbage black spots, Lack of primary health centres, Lack of parks and playgrounds,,,,,,,5 - High Importance,5 - High Importance,5 - High Importance,4,5 - High Importance,3,5 - High Importance,4,3,4,3 - Average,2 - Poor,3 - Average,3 - Average,3 - Average,1- Very Poor,1- Very Poor,2 - Poor,3 - Average,3 - Average,Can't say,Can't say,Can't say,Can't say,No,No,Candidate's individual capabilities, Past work record of candidate, Manifesto or promises, Clean image of candidate, Political party of the candidate,,No one inspires,Party doesn't matter; candidate does,"In this circus, No clue. ",21-25,Graduate diploma/degree,Private Firm Employee,"Between Rs 10,000 and Rs 25,000",Female,Kannada, Tamil, Hindi, English,,,
57,C.V Raman Nagar,No - other reasons,"Assembly elections 2013, Parliament elections 2014",Savitha Ramesh,Garbage black spots, Bad roads with potholes, Unwalkable footpaths, Lack of public toilets, Encroachment of public land, Uncleaned gutters, silent on commercialization of residential areas, old drain pipes,despite seggregation of waste the collector puts them all together.,Not applicable,1 - Low Importance,Not applicable,2,3,3,2,3,Not applicable,2,Not applicable,2 - Poor,Not applicable,3 - Average,3 - Average,3 - Average,2 - Poor,2 - Poor,Not applicable,3 - Average,Low,Low,Medium,Low,No,No,Candidate's individual capabilities, Past work record of candidate, Manifesto or promises, Clean image of candidate, Candidate's personality/ charm, Approchable,Ashwin Mahesh,Party doesn't matter; candidate does,Loksatta,31-40,Post graduate,Business/self employed,"Between Rs 50,000 and Rs 1,00,000",Male,Kannada, Tamil, Hindi, English,,,
19,Sanjayanagar,No - other reasons,Parliament elections 2014,No Idea,Garbage black spots, Non-collection of garbage from your home, Bad roads with potholes, Unwalkable footpaths,,,,,,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,Zero,Zero,Zero,Zero,No,No,Candidate's individual capabilities, Clean image of candidate,,,,,Nandan Nilkanni,Loksatta candidate,Loksatta,31-40,Post graduate,Private Firm Employee,"Above Rs 2,00,000",Male,Kannada, Telugu, Hindi, English,,,
159,Kengeri,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",Veena Nagraj,Garbage black spots, Bad roads with potholes, Lack of primary health centres, Lack of public toilets, Lack of government schooling,,,,,1 - Low Importance,1 - Low Importance,2,1 - Low Importance,2,2,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,Zero,Zero,Zero,Medium,No,Yes,Past work record of candidate, Clean image of candidate,,,,,Vatal nagraj :) kidding ! We have to solve our problems. I don't see a clear leader who has fought for this city. ,AAP candidate,Loksatta,31-40,Graduate diploma/degree,Business/self employed,"Between Rs 1,00,000 and Rs 2,00,000",Male,Kannada, Hindi, English,,,,
150,Bellandur,No - I was not on the voters list,,,Garbage black spots, No street lights, Bad roads with potholes, Unwalkable footpaths, Lack of parks and playgrounds,,,,,3,3,4,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,2,2,3,3 - Average,3 - Average,4 - Good,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,2 - Poor,4 - Good,2 - Poor,Zero,Zero,Zero,Zero,,No,Clean image of candidate,,,,,,,BJP candidate,BJP,31-40,Graduate diploma/degree,IT/ITES,"Between Rs 1,00,000 and Rs 2,00,000",Male,Tamil, Telugu, English,,,,
175,Bommanahalli,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",,Garbage black spots, Non-collection of garbage from your home, Bad roads with potholes, Unwalkable footpaths, Lack of primary health centres, Lack of public toilets, Lack of parks and playgrounds, Lack of government schooling, Encroachment of public land,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,2,1 - Low Importance,1 - Low Importance,1 - Low Importance,2,1 - Low Importance,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,Zero,Zero,Zero,High,No,No,Candidate's individual capabilities, Past work record of candidate, Manifesto or promises, Clean image of candidate,,,,Party doesn't matter; candidate does,Are you joking?,31-40,Post graduate,Private Firm Employee,"Above Rs 2,00,000",Male,Kannada, Tamil, Telugu, Hindi, English,,
175,Bommanahalli,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",Manjunath Reddy,Garbage black spots, Unwalkable footpaths, Lack of public toilets,,,,,,,4,3,3,5 - High Importance,5 - High Importance,1 - Low Importance,1 - Low Importance,Not applicable,2,2,2 - Poor,2 - Poor,1- Very Poor,2 - Poor,4 - Good,2 - Poor,2 - Poor,3 - Average,1- Very Poor,1- Very Poor,Low,Low,Low,Can't say,No,No,Candidate's individual capabilities, Past work record of candidate, Clean image of candidate,,,,Common people like us are the real leaders. The people you are calling our leaders are merely our representatives. How can one's representative be his leader!?,Party doesn't matter; candidate does,Loksatta,41-50,Graduate diploma/degree,Private Firm Employee,"Between Rs 10,000 and Rs 25,000",Male,Kannada, Tamil, Telugu, Urdu, Hindi, English,
175,Bommanahalli,No - I was not on the voters list,"Assembly elections 2013, Parliament elections 2014",Manjunath,Garbage black spots, Unwalkable footpaths, Lack of public toilets, Lack of parks and playgrounds,,,,,,2,3,4,5 - High Importance,5 - High Importance,3,Not applicable,5 - High Importance,3,4,2 - Poor,2 - Poor,3 - Average,4 - Good,5 - Very Good,3 - Average,4 - Good,3 - Average,4 - Good,4 - Good,Zero,Low,Low,Medium,No,No,Candidate's individual capabilities, Past work record of candidate, Clean image of candidate, Candidate's personality/ charm,,,,Party doesn't matter; candidate does,"Congress, BJP, Loksatta",31-40,Graduate diploma/degree,Private Firm Employee,"Between Rs 1,00,000 and Rs 2,00,000",Male,Kannada, Tamil, Malayalam, Hindi, English,,
